feature_code,feature_name,feature_type
S12000036,City of Edinburgh,Council Area
S92000003,Scotland,Country
S12000033,Aberdeen City,Council Area
S12000034,Aberdeenshire,Council Area
S12000050,North Lanarkshire,Council Area
S12000049,Glasgow City,Council Area
S12000040,West Lothian,Council Area
S12000029,South Lanarkshire,Council Area
S12000014,Falkirk,Council Area
S12000023,Orkney Islands,Council Area
S12000018,Inverclyde,Council Area
S12000039,West Dunbartonshire,Council Area
S12000011,East Renfrewshire,Council Area
S12000042,Dundee City,Council Area
S12000017,Highland,Council Area
S12000020,Moray,Council Area
S12000019,Midlothian,Council Area
S12000008,East Ayrshire,Council Area
S12000010,East Lothian,Council Area
S12000035,Argyll and Bute,Council Area
S12000047,Fife,Council Area
S12000045,East Dunbartonshire,Council Area
S12000021,North Ayrshire,Council Area
S12000027,Shetland Islands,Council Area
S12000048,Perth and Kinross,Council Area
S12000013,Na h-Eileanan Siar,Council Area
S12000030,Stirling,Council Area
S12000028,South Ayrshire,Council Area
S12000026,Scottish Borders,Council Area
S12000006,Dumfries and Galloway,Council Area
S12000038,Renfrewshire,Council Area
S12000041,Angus,Council Area
S12000005,Clackmannanshire,Council Area
